Year,Month,Radiation,Temperature,Humidity,WindSpeed
2012,1,13.85,13.52,33.34,1.77
2012,2,18.14,15.79,23.45,1.99
2012,3,22.48,23.48,18.4,2.43
2012,4,23.64,30.26,25.44,2.1
2012,5,26.3,34.43,23.28,3.05
2012,6,25.18,36.58,30.0,4.43
2012,7,23.34,36.74,36.37,4.18
2012,8,19.3,31.83,56.81,2.74
2012,9,20.04,29.55,58.21,2.55
2012,10,19.63,26.3,33.73,1.58
2012,11,15.44,21.03,28.99,1.46
2012,12,13.35,15.84,33.92,1.6
2013,1,14.37,13.56,32.13,1.51
2013,2,16.52,16.82,44.0,2.1
2013,3,22.09,24.01,28.45,2.0
2013,4,23.97,29.7,26.1,2.11
2013,5,27.34,34.52,19.18,3.67
2013,6,25.03,36.23,36.84,4.36
2013,7,23.01,34.84,48.61,3.31
2013,8,22.35,31.77,57.88,2.79
2013,9,21.92,31.49,48.15,2.83
2013,10,18.68,28.43,40.09,1.88
2013,11,14.83,21.3,32.95,1.65
2013,12,13.17,16.23,29.63,1.69
2014,1,13.21,14.07,37.78,1.78
2014,2,17.3,16.86,29.84,2.29
2014,3,21.39,23.31,26.88,2.17
2014,4,25.52,29.74,22.7,2.07
2014,5,25.52,33.48,28.66,2.43
2014,6,25.98,36.43,32.34,4.62
2014,7,22.93,34.95,43.66,3.43
2014,8,22.73,33.33,47.51,3.25
2014,9,21.46,30.5,51.3,3.27
2014,10,18.69,27.19,32.78,1.76
2014,11,15.63,21.85,26.58,1.5
2014,12,12.76,15.79,28.58,1.62
2015,1,12.84,14.32,39.33,1.72
2015,2,17.09,18.97,32.89,2.18
2015,3,20.0,22.36,41.19,2.18
2015,4,24.96,29.82,31.2,2.37
2015,5,26.34,34.46,23.23,2.6
2015,6,24.25,34.78,37.45,2.46
2015,7,21.16,32.96,53.7,3.23
2015,8,22.25,31.76,56.63,3.16
2015,9,22.02,30.58,42.86,2.42
2015,10,19.25,27.63,33.1,1.9
2015,11,13.75,21.11,34.21,1.74
2015,12,13.31,16.38,25.85,1.58
2016,1,13.25,16.13,31.93,1.64
2016,2,17.96,18.48,22.87,1.97
2016,3,21.59,25.35,30.58,2.11
2016,4,25.42,31.2,20.74,2.44
2016,5,25.75,35.66,25.81,3.64
2016,6,24.57,36.76,33.12,3.43
2016,7,22.41,34.67,48.04,3.53
2016,8,20.57,31.5,60.43,2.5
2016,9,22.91,31.15,45.9,2.38
2016,10,19.07,28.15,36.71,1.93
2016,11,15.01,22.1,25.36,1.52
2016,12,13.73,19.1,27.72,1.59
2017,1,12.38,14.56,39.7,1.92
2017,2,18.09,19.24,26.14,2.0
2017,3,21.78,24.63,22.35,1.89
2017,4,25.73,31.59,18.69,3.01
2017,5,25.58,34.95,27.74,2.75
2017,6,24.41,35.23,42.28,3.38
2017,7,22.45,33.74,51.44,3.05
2017,8,21.49,32.3,54.35,3.5
2017,9,21.43,31.7,41.32,2.04
2017,10,19.88,28.9,21.16,1.55
2017,11,14.21,21.19,27.73,1.44
2017,12,12.66,16.37,30.07,1.66
2018,1,14.81,16.27,24.54,1.6
2018,2,17.11,20.31,25.46,1.81
2018,3,22.06,26.09,21.63,2.07
2018,4,24.65,31.42,19.39,2.28
2018,5,25.58,35.49,17.48,2.45
2018,6,21.92,36.17,35.92,3.83
2018,7,21.13,33.2,53.81,3.34
2018,8,20.81,32.0,54.03,3.04
2018,9,20.55,30.6,44.9,2.69
2018,10,18.7,27.63,24.69,1.6
2018,11,14.76,22.26,25.22,1.57
2018,12,13.75,15.82,28.91,1.57
2019,1,12.64,14.39,35.89,1.77
2019,2,16.05,16.13,35.61,2.15
2019,3,21.06,22.92,29.74,2.15
2019,4,24.86,31.9,22.74,2.15
2019,5,26.33,34.06,24.86,2.54
2019,6,25.94,37.29,28.35,3.33
2019,7,21.02,35.93,42.38,3.77
2019,8,20.58,32.69,57.39,2.8
2019,9,20.25,32.93,52.05,2.05
2019,10,18.14,27.53,41.86,1.4
2019,11,11.76,21.1,52.3,1.87
2019,12,11.56,13.78,44.54,1.71
2020,1,12.47,12.85,51.95,1.85
2020,2,17.59,18.03,35.6,1.97
2020,3,19.55,21.83,46.2,2.17
2020,4,23.97,29.53,34.13,2.43
2020,5,25.97,34.47,27.14,2.99
2020,6,25.35,36.47,36.3,3.42
2020,7,23.34,35.69,45.99,3.34
2020,8,20.66,33.19,57.67,3.11
2020,9,20.42,31.83,50.76,1.92
2020,10,18.96,28.06,26.41,1.53
2020,11,14.27,19.88,36.13,1.83
2020,12,13.19,15.76,40.09,1.95
2021,1,13.06,14.44,40.73,1.87
2021,2,18.3,20.8,25.4,1.91
2021,3,21.35,26.77,25.05,2.27
2021,4,25.83,30.12,18.4,2.31
2021,5,23.24,34.13,28.93,2.87
2021,6,24.6,35.9,37.76,3.26
2021,7,21.25,35.07,48.08,3.29
2021,8,22.87,34.57,42.21,3.09
2021,9,18.29,31.08,62.19,2.76
2021,10,18.65,27.73,41.64,1.92
2021,11,14.63,21.7,31.46,1.75
2021,12,12.01,15.82,35.88,1.69
2022,1,12.19,14.2,51.32,1.87
2022,2,17.9,18.87,36.26,2.22
2022,3,22.5,27.67,25.74,2.22
2022,4,25.67,33.62,15.26,2.48
2022,5,25.27,36.09,20.58,3.84
2022,6,24.69,35.55,34.65,3.78
2022,7,19.15,32.01,66.0,2.76
2022,8,19.42,30.62,65.96,3.26
2022,9,21.48,31.51,54.13,2.49
2022,10,19.35,27.82,38.42,1.86
2022,11,14.61,22.87,34.49,1.73
2022,12,13.5,17.4,32.63,1.77
2023,1,13.58,13.45,33.64,2.11
2023,2,18.08,21.81,24.27,1.84
2023,3,19.24,24.94,35.64,2.07
2023,4,23.75,29.17,29.53,2.31
2023,5,24.39,32.22,35.7,2.97
2023,6,23.94,33.3,50.4,3.56
2023,7,20.42,32.24,65.37,2.8
2023,8,22.08,32.24,56.67,3.99
2023,9,20.8,32.36,48.64,2.36
2023,10,18.44,28.41,40.16,2.02
2023,11,11.93,21.72,44.11,1.65
2023,12,12.91,17.19,37.61,1.74
2024,1,11.12,14.12,41.25,1.77
2024,2,16.68,17.61,32.46,2.37
2024,3,21.32,24.07,25.52,2.26
2024,4,22.58,29.95,27.39,2.37
2024,5,26.19,36.52,18.84,2.73
2024,6,23.72,37.13,33.31,3.61
2024,7,20.53,35.85,49.45,3.14
2024,8,18.04,31.51,65.26,3.04
2024,9,20.05,32.46,54.53,1.92
2024,10,18.41,30.49,36.8,1.74
2024,11,14.13,24.35,33.87,1.51
2024,12,12.03,15.62,40.0,1.86
2025,1,13.45,16.05,34.65,1.75
2025,2,16.52,20.41,29.38,1.96
2025,3,22.22,25.27,22.98,2.48
2025,4,25.87,33.06,14.91,2.57
2025,5,24.58,35.92,29.36,3.71
2025,6,21.42,36.38,36.88,3.79
2025,7,17.57,32.68,60.73,3.46
2025,8,19.2,32.1,59.14,3.29
2025,9,20.88,30.58,58.25,2.76
