Year,Month,Radiation,Temperature,Humidity,WindSpeed
2012,1,15.31,14.88,31.14,1.92
2012,2,19.4,17.43,20.16,2.11
2012,3,23.66,24.4,17.48,2.28
2012,4,24.93,30.57,27.52,2.14
2012,5,26.92,34.29,27.67,3.38
2012,6,25.26,35.27,38.47,4.74
2012,7,21.6,33.47,51.81,4.13
2012,8,16.54,29.68,70.3,2.38
2012,9,19.61,27.24,77.36,1.69
2012,10,20.11,25.26,52.73,1.21
2012,11,15.94,20.27,47.23,1.55
2012,12,14.64,17.22,35.94,2.05
2013,1,15.8,14.15,36.43,1.94
2013,2,18.47,18.21,43.17,2.28
2013,3,23.4,24.78,23.48,1.93
2013,4,25.38,30.23,25.17,2.07
2013,5,27.38,34.41,23.08,3.71
2013,6,24.29,34.5,48.18,3.85
2013,7,20.67,31.75,63.49,3.06
2013,8,19.91,29.08,74.1,2.61
2013,9,20.3,29.28,66.35,2.18
2013,10,19.61,26.15,62.19,1.56
2013,11,15.9,20.61,49.75,1.45
2013,12,14.36,17.41,34.71,1.63
2014,1,14.84,15.27,38.91,1.91
2014,2,17.86,18.94,32.61,2.01
2014,3,22.73,24.74,24.69,2.14
2014,4,25.78,30.73,21.6,2.22
2014,5,26.29,33.58,32.21,3.35
2014,6,26.36,35.77,36.13,5.14
2014,7,21.51,32.92,53.98,3.73
2014,8,19.89,29.58,70.09,2.76
2014,9,20.75,27.6,72.77,2.34
2014,10,19.23,26.81,49.35,1.44
2014,11,15.81,23.51,31.44,1.58
2014,12,14.47,17.0,27.89,1.73
2015,1,14.7,15.85,39.98,1.85
2015,2,18.81,20.52,28.16,1.97
2015,3,21.61,24.34,35.2,2.14
2015,4,24.87,30.51,30.91,2.7
2015,5,26.97,34.87,26.0,3.21
2015,6,23.63,33.2,49.39,2.97
2015,7,19.31,31.28,63.17,3.88
2015,8,21.28,29.15,72.55,3.15
2015,9,21.91,28.92,58.94,2.13
2015,10,20.28,28.17,33.15,1.78
2015,11,15.33,22.97,32.31,1.73
2015,12,14.74,17.54,22.55,1.67
2016,1,15.26,18.24,30.17,1.58
2016,2,18.98,20.38,20.9,2.01
2016,3,22.74,26.88,25.96,2.11
2016,4,25.85,31.29,22.0,2.7
2016,5,26.53,35.64,28.41,4.55
2016,6,24.62,35.14,40.73,3.82
2016,7,20.36,31.13,64.74,3.31
2016,8,18.14,28.2,80.79,2.36
2016,9,22.88,27.32,73.34,2.21
2016,10,19.05,26.12,59.08,1.5
2016,11,16.54,21.84,36.26,1.37
2016,12,15.21,20.14,30.25,1.5
2017,1,14.12,16.2,36.78,1.95
2017,2,19.03,20.34,24.9,2.04
2017,3,22.29,25.57,23.71,1.95
2017,4,26.03,31.16,21.4,3.16
2017,5,25.96,34.41,31.76,3.12
2017,6,24.1,34.15,49.58,3.74
2017,7,19.0,29.55,74.95,3.07
2017,8,19.24,28.18,79.64,2.8
