,T,RH,WS,Rs,P,month,season
961,-0.06804595,0.025828805,-0.026728816,-0.14352047,-0.00087341474,2,Winter
991,-0.024387188,0.027848551,-0.047950145,0.416634,-0.010447941,2,Winter
994,-0.007895717,0.03741902,-0.01363244,0.16286543,-0.006868011,2,Winter
999,-0.051209852,0.035495322,-0.02653388,-0.14201246,-0.00035767083,2,Winter
1020,-0.025899468,0.03595906,-0.047906034,-0.14113702,-0.0019693256,2,Winter
1024,-0.057290617,0.046715494,0.027642075,-0.15175927,-0.0017971385,2,Winter
1030,-0.079744875,0.04176042,0.03359226,-0.15426198,-0.0038021796,2,Winter
1031,-0.0815617,0.040271048,0.03391945,-0.15504795,-0.0038397573,2,Winter
1044,-0.037665248,0.040118087,-0.0025962899,-0.14862505,-0.0032528206,2,Winter
1062,-0.073004596,0.049453996,0.0810654,0.38790312,-0.010585284,2,Winter
1067,-0.039066624,0.029989362,0.024282675,-0.10986511,-0.00013506375,2,Winter
1086,-0.056430783,0.052840147,0.057616103,0.4003459,-0.009381272,2,Winter
1091,-0.041688293,0.019103881,-0.03793833,-0.12747696,-0.0060223974,2,Winter
1097,-0.05902271,0.009456696,-0.017185966,-0.14550026,0.00034486354,2,Winter
1101,-0.065712124,0.008824466,-0.023656199,-0.14369954,0.00092328846,2,Winter
1121,-0.05922643,0.019098802,-0.026843116,-0.14390558,0.0006142867,2,Winter
1127,-0.06256283,0.015696557,-0.028295964,-0.14317049,0.00027116504,2,Winter
1138,-0.0267669,0.01586141,-0.07863577,-0.13519616,-0.008274012,2,Winter
1149,-0.065267205,0.016309354,-0.009077537,-0.14610575,0.00021707607,2,Winter
1151,-0.06617878,0.01381283,-0.012590631,-0.14487493,7.3046904e-05,2,Winter
1164,-0.04323164,0.028622936,-0.027278641,-0.14412245,-0.0005250972,2,Winter
1165,-0.04800305,0.026855737,-0.019731902,-0.14505735,-0.00013440517,2,Winter
1166,-0.053244114,0.02447651,-0.016512422,-0.14569834,-2.4305979e-05,2,Winter
1179,-0.01843384,0.039012704,-0.007788446,0.28034392,-0.009867641,2,Winter
1187,-0.030349886,0.029375045,-0.042385727,-0.14439169,-0.0022741824,2,Winter
1190,-0.03317982,0.026878146,-0.047601216,-0.14324693,-0.0012364016,2,Winter
1206,0.004633646,0.041568846,0.12368919,0.39280313,0.0049618077,2,Winter
1216,-0.046813726,0.011958161,-0.025760327,-0.14715394,0.0007020122,2,Winter
1225,-0.050321247,0.023161314,-0.05224233,0.043911226,-0.005143733,2,Winter
1245,-0.054155715,0.025087185,-0.039811347,-0.14199233,-0.00031377777,2,Winter
1258,-0.022558363,0.02466518,-0.020737184,-0.15091437,-0.00054984697,2,Winter
1273,-0.051800948,-0.032944396,0.07750038,0.18526012,-0.0052297763,2,Winter
1306,-0.018256264,0.01671492,-0.035531126,-0.15558971,0.0029964326,2,Winter
1341,-0.07013492,0.017416501,-0.004603182,-0.14728677,-0.00078411156,2,Winter
1348,-0.021602686,0.0273858,-0.057502914,0.47711438,-0.009105644,2,Winter
1361,-0.062346056,0.035058133,-0.015143958,-0.14387114,-0.0009794002,2,Winter
1375,-0.0043265843,0.007899958,-0.12831782,0.15502155,-0.004847151,2,Winter
1380,-0.042424988,0.035629362,-0.035963625,-0.14012222,-0.00034368204,2,Winter
1393,-0.02346446,0.03345707,-0.037772246,0.33279532,-0.008312912,2,Winter
1397,0.0010388928,0.032138336,-0.021057049,0.34467188,0.003519264,2,Winter
1426,-0.04777523,0.03663849,-0.02385634,-0.1417583,-0.00058963156,3,Winter
1457,-0.067594215,0.02972178,-0.021546397,-0.14204729,-0.0003183945,3,Winter
1464,-0.05410625,0.04887015,0.036415175,0.2184134,-0.0076686144,3,Winter
1466,-0.026233843,0.0478992,0.0068374607,0.45735744,-0.0063215746,3,Winter
1479,-0.056929544,0.03645946,-0.011090237,-0.14389269,-0.0008155091,3,Winter
1495,-0.007148558,0.05206409,0.03689857,0.08196115,-0.0072920183,3,Winter
1508,-0.05995522,0.028615527,-0.031856917,-0.14103942,-0.00054625946,3,Winter
1510,-0.049879197,0.026022606,-0.04669963,-0.06373274,-0.005615137,3,Winter
1526,-0.03512306,0.032967553,-0.05326858,-0.13878381,-0.00060767337,3,Winter
1530,-0.048174247,0.0339214,-0.031704437,-0.1423529,-0.00042160822,3,Winter
1534,-0.052233223,0.026509585,-0.03590132,-0.058948454,-0.0032024062,3,Winter
