City,Period_Type,Period,T_%,RH_%,WS_%,Rs_%,P_%
Barmer,Season,Summer,13.439404362150938,7.51477891700484,15.708415283842209,61.83504807708993,1.502353359912079
Barmer,Season,Monsoon,10.524520914430903,11.067920090689034,13.125878035489244,63.851339321725575,1.4303416376652407
Barmer,Season,Post-Monsoon,12.227350355364601,7.067989342344563,15.792743745125637,63.76606011109423,1.1458564460709637
Barmer,Season,Winter,18.42274918455595,7.618241930549788,11.961602312892342,60.831580826576385,1.1658257454255456
Barmer,Month,Jan,23.75319258732236,7.378137071074279,10.594769742570744,57.0438795039657,1.230021095066922
Barmer,Month,Feb,17.627010584859153,8.099844184630065,12.517379229033093,60.623526416111574,1.132239585366117
Barmer,Month,Mar,11.38962253262811,7.89681009572905,13.186994582204834,66.39259070914724,1.1339820802907523
Barmer,Month,Apr,11.723542558214758,7.969170034508171,13.490718065578653,65.4464774073883,1.3700919343101172
Barmer,Month,May,14.33247761155556,7.4925738956935355,15.717447966536223,60.89643081674232,1.5610697094723545
Barmer,Month,Jun,14.093008958283718,7.104951486028635,17.81836075171881,59.41976109492042,1.5639177090484193
Barmer,Month,Jul,12.013612393199917,10.154856760488233,15.996759972200609,60.2949967703561,1.5397741037551467
Barmer,Month,Aug,9.60087421398963,12.481243001967462,12.048517745692164,64.50345634410934,1.3659086942414134
Barmer,Month,Sep,9.859252750382614,10.595604337680701,11.112277692182028,67.05499438140158,1.3778708383530753
Barmer,Month,Oct,10.610972368983814,6.928112846074698,16.1673069374681,65.10807199368058,1.1855358537927967
Barmer,Month,Nov,14.224836704631723,7.24084581170788,15.329866330346409,62.10762969530842,1.0968214580055586
Barmer,Month,Dec,22.267282871714794,7.016150708830063,11.329709909378005,58.2158303504272,1.1710261596499167
Bikaner,Season,Summer,12.971077726725094,6.600117870534031,17.228407821220603,62.00024946221488,1.2001471193053885
Bikaner,Season,Monsoon,10.617111153578215,8.715558688171587,15.051549928593227,64.39730598845087,1.2184742412061162
Bikaner,Season,Post-Monsoon,13.053896413046957,6.866055486522112,15.400889527315234,63.72374262859911,0.9554159445166028
Bikaner,Season,Winter,20.01078322094472,7.196532954151697,13.008602609011632,58.914695095439114,0.8693861204528355
Bikaner,Month,Jan,25.43489862393699,6.7293188802746,12.270167772555919,54.654545397815234,0.9110693254172587
Bikaner,Month,Feb,19.94692094184476,7.4124996731826736,12.904686818948688,58.84275989734512,0.8931326686787459
Bikaner,Month,Mar,12.151133643184329,7.923473934801002,13.772344047770318,65.26220979208811,0.8908385821562597
Bikaner,Month,Apr,10.691251708939483,7.572402376025556,14.495226454593599,66.06985575565447,1.1712637047868897
Bikaner,Month,May,13.503955777864608,6.709558266704951,17.58899201675231,60.968061674667226,1.2294322640108877
Bikaner,Month,Jun,14.51569597755418,5.578698427681237,19.379913984202197,59.33024849498027,1.1954431155821261
Bikaner,Month,Jul,11.925346907966752,8.233836554320357,17.259487529298326,61.361321607544305,1.2200074008702473
Bikaner,Month,Aug,9.550073443374714,9.502815104506453,14.714087879122486,65.04486890911723,1.1881546638791238
Bikaner,Month,Sep,10.311279414441996,8.397117924224055,12.935777082691521,67.105934909392,1.2498906692504177
Bikaner,Month,Oct,10.977167128662026,6.672417405577436,15.457286801987118,65.77506007597599,1.1180685877974283
Bikaner,Month,Nov,15.528138700606764,7.096758415381295,15.333697080545436,61.279776334257384,0.7616294692091131
Bikaner,Month,Dec,24.2198646587008,6.548210828251694,12.943044144237014,55.51658078035546,0.7722995884550193
Jaisalmer,Season,Summer,12.506167459091785,7.362562966683778,16.853002097377654,61.875203459406436,1.4030640174403621
Jaisalmer,Season,Monsoon,10.39843010139777,9.543157539843557,14.831104582733811,63.68762116701916,1.5396866090056964
Jaisalmer,Season,Post-Monsoon,12.151485985025893,7.539080933127725,16.20092412375272,62.83117419223609,1.2773347658575849
Jaisalmer,Season,Winter,18.393006070912698,7.596471337595929,13.433399909763164,59.14629155485426,1.430831126873937
Jaisalmer,Month,Jan,23.818133891260835,7.1016191927455345,12.268339301705163,55.204801477476515,1.6071061368119417
Jaisalmer,Month,Feb,17.765745134832475,7.985892931946798,13.197649646055787,59.7448959762219,1.305816310943063
Jaisalmer,Month,Mar,11.268882213658692,8.010007402149558,14.71732072645387,64.80498210062065,1.1988075571172263
Jaisalmer,Month,Apr,10.73198420268021,8.315837913054011,14.721875236134801,65.03942962431032,1.1908730238206833
Jaisalmer,Month,May,12.934544549217058,7.287128179635544,16.49316324908674,61.82060500059858,1.4645590214620627
Jaisalmer,Month,Jun,13.659859394863243,6.581650506519166,19.148781025176838,59.079343311827635,1.5303657616131183
Jaisalmer,Month,Jul,11.769025676917295,8.724662001856748,17.215947531169263,60.65394190586639,1.6364228841902977
Jaisalmer,Month,Aug,9.50718853160126,10.593186101257018,14.041578372578083,64.29778707485518,1.560259919708453
Jaisalmer,Month,Sep,9.8257211996276,9.324213019390925,13.009895942744526,66.43134009527068,1.4088297429662773
Jaisalmer,Month,Oct,10.061555755959036,7.369528589541853,16.296958750846184,65.07386320544427,1.198093698208666
Jaisalmer,Month,Nov,14.751255360779211,7.749995625068694,16.081461818716374,60.04138047817494,1.3759067172607853
Jaisalmer,Month,Dec,21.963639834012998,7.213066445758836,13.357008725417707,55.80914130385622,1.6571436909542154
Jodhpur,Season,Summer,14.614638175938529,7.3224555644093385,15.133913429400286,61.92492621302983,1.004066617221998
Jodhpur,Season,Monsoon,10.47893607730775,12.997545763877797,11.319012987440088,64.38605339754908,0.8184517738252749
Jodhpur,Season,Post-Monsoon,13.151129679246138,7.672525768765646,13.039779802660053,65.05706611713502,1.0794986321931332
Jodhpur,Season,Winter,17.53956688857524,8.16570029314687,10.865564448548236,62.51312444724487,0.9160439224847612
Jodhpur,Month,Jan,21.42278880293001,7.769155915774014,10.210691448379341,59.763561998608864,0.8338018343077723
Jodhpur,Month,Feb,16.809740691108217,8.407164205385389,10.796476443859442,63.073297625519906,0.9133210341270234
Jodhpur,Month,Mar,12.531144707908858,8.378273813637247,11.513534639106808,66.43746154360795,1.1395852957391417
