City,Period_Type,Period,Base_Value,T_SHAP,RH_SHAP,WS_SHAP,Rs_SHAP,P_SHAP
Barmer,Season,Summer,0.28518775,0.03490460208626977,0.0095779314916779,0.024214980879300498,0.046529961885693756,0.0048730445272145775
Barmer,Season,Monsoon,0.28518775,0.010827068788770964,-0.02742340109550296,0.012922382447439498,0.0020513994445719042,0.0037019157399728253
Barmer,Season,Post-Monsoon,0.28518775,-0.017216090172198144,0.008402148470581733,-0.03572659629413313,-0.011815772590976471,0.0008183503977514272
Barmer,Season,Winter,0.28518775,-0.04570398813610221,0.015593078099020562,-0.01645523912459504,-0.010850466759146507,-0.0013323670015307138
Barmer,Month,Jan,0.28518775,-0.06348159272580457,0.012196946768557638,-0.013619286295495378,-0.02858994175897601,-0.0024488904071200113
Barmer,Month,Feb,0.28518775,-0.04784753604525845,0.017492468566220165,-0.014468057176617742,-0.006007302753162093,-0.001792488262932859
Barmer,Month,Mar,0.28518775,-0.015850318221041545,0.020349993962958456,-0.01801919531576536,0.02741318002715038,0.0009192860475130486
Barmer,Month,Apr,0.28518775,0.018839387055768157,0.022400146094223566,-0.004529085559252568,0.048594598172691836,0.003878275837136012
Barmer,Month,May,0.28518775,0.04348400162672034,0.012137979490443929,0.03248334803826264,0.05662461373869843,0.00582225740051333
Barmer,Month,Jun,0.28518775,0.041988355391461354,-0.005776536916404435,0.04419195516044578,0.03407347962445776,0.0048806819311288194
Barmer,Month,Jul,0.28518775,0.0230714781741142,-0.024840650764067652,0.03114354069947478,0.002708862124715942,0.0037024682957671304
Barmer,Month,Aug,0.28518775,0.005794794879227591,-0.03350418240374936,0.015510820497629335,-1.7417441990686732e-05,0.0036059638246727587
Barmer,Month,Sep,0.28518775,0.003315834825422637,-0.023816213879463574,-0.0086781199938531,0.0035084158731487052,0.0038005865598044553
Barmer,Month,Oct,0.28518775,-0.00407292071098409,0.0044918934640972305,-0.03824119192879788,-0.0023578463310394817,0.002303858949891167
Barmer,Month,Nov,0.28518775,-0.03176531298738421,0.012730721690414872,-0.032942989776177434,-0.022285505704553166,-0.0008260775298292237
Barmer,Month,Dec,0.28518775,-0.056311143487476976,0.012338366232961325,-0.019701252854921424,-0.037041410639103746,-0.0020806337566237265
Bikaner,Season,Summer,0.27829334,0.034935248246991374,0.014859143650167649,0.01879166009812841,0.05356587536731037,0.002246257947084314
Bikaner,Season,Monsoon,0.27829334,0.01838330188018069,-0.021076834254461618,0.013549616441488508,0.014896494703571708,0.003194763332809136
Bikaner,Season,Post-Monsoon,0.27829334,-0.0202515225320896,0.007893586552303775,-0.02973878791302102,-0.019807024883835532,0.0007479092850977478
Bikaner,Season,Winter,0.27829334,-0.04937435130594231,0.009391077634196965,-0.017963092623265477,-0.02246867000867563,-0.0013527366880087353
Bikaner,Month,Jan,0.27829334,-0.06333027574941037,0.005013106780065743,-0.020485719804404483,-0.04286844419306014,-0.0018548185044128804
Bikaner,Month,Feb,0.27829334,-0.05272275626465639,0.01074674601444258,-0.014260366603351317,-0.019591438842212587,-0.0016537488921252795
Bikaner,Month,Mar,0.27829334,-0.02461593448105999,0.015285667133925276,-0.014100436923442632,0.023497796404877692,-0.0006246101064825858
